px,py,rho_p
11,39,5.3408944560e-05
11,40,5.9910498381e-05
11,41,6.4837164247e-05
11,42,6.8550042517e-05
11,43,7.1315641708e-05
11,44,7.3328870822e-05
11,45,7.4729464259e-05
11,46,7.5613478039e-05
11,47,7.6041023208e-05
12,0,6.2554445185e-05
12,1,6.2059069709e-05
12,2,6.1037600431e-05
12,3,5.9426223569e-05
12,4,5.7123034509e-05
12,5,5.3979915504e-05
12,6,4.9790456238e-05
12,7,4.4272684138e-05
12,8,3.7044865140e-05
12,9,2.7592028130e-05
12,10,1.5220229309e-05
12,11,-1.0048427966e-06
12,12,-2.2337840895e-05
12,13,-5.0452242121e-05
12,14,-8.7548214181e-05
12,15,-1.3643838139e-04
12,16,-2.0053142123e-04
12,17,-2.8354089690e-04
12,18,-3.8860391398e-04
12,19,-5.1636754900e-04
12,20,-6.6176781366e-04
12,21,-8.1027024097e-04
12,22,-9.3659020949e-04
12,23,-1.0104995027e-03
12,24,-1.0104995027e-03
12,25,-9.3659020949e-04
12,26,-8.1027024097e-04
12,27,-6.6176781366e-04
12,28,-5.1636754900e-04
12,29,-3.8860391398e-04
12,30,-2.8354089690e-04
12,31,-2.0053142123e-04
12,32,-1.3643838139e-04
12,33,-8.7548214181e-05
12,34,-5.0452242121e-05
12,35,-2.2337840895e-05
12,36,-1.0048427966e-06
12,37,1.5220229309e-05
12,38,2.7592028130e-05
12,39,3.7044865140e-05
12,40,4.4272684138e-05
12,41,4.9790456238e-05
12,42,5.3979915504e-05
12,43,5.7123034509e-05
12,44,5.9426223569e-05
12,45,6.1037600431e-05
12,46,6.2059069709e-05
12,47,6.2554445185e-05
13,0,4.4327596048e-05
13,1,4.3745221470e-05
13,2,4.2547561162e-05
13,3,4.0666281001e-05
13,4,3.7992344759e-05
13,5,3.4367428075e-05
13,6,2.9571143324e-05
13,7,2.3302761394e-05
13,8,1.5155569482e-05
13,9,4.5813387973e-06
13,10,-9.1583408567e-06
13,11,-2.7057621162e-05
13,12,-5.0452242121e-05
13,13,-8.1126120179e-05
13,14,-1.2142985913e-04
13,15,-1.7437898040e-04
13,16,-2.4364795231e-04
13,17,-3.3327574480e-04
13,18,-4.4673955314e-04
13,19,-5.8490179594e-04
13,20,-7.4249034681e-04
13,21,-9.0389335673e-04
13,22,-1.0415696979e-03
13,23,-1.1222905362e-03
13,24,-1.1222905362e-03
13,25,-1.0415696979e-03
13,26,-9.0389335673e-04
13,27,-7.4249034681e-04
13,28,-5.8490179594e-04
13,29,-4.4673955314e-04
13,30,-3.3327574480e-04
13,31,-2.4364795231e-04
13,32,-1.7437898040e-04
13,33,-1.2142985913e-04
13,34,-8.1126120179e-05
13,35,-5.0452242121e-05
13,36,-2.7057621162e-05
13,37,-9.1583408567e-06
13,38,4.5813387973e-06
13,39,1.5155569482e-05
13,40,2.3302761394e-05
13,41,2.9571143324e-05
13,42,3.4367428075e-05
13,43,3.7992344759e-05
